"ID","Nombre","Espacio","Región","Etapa","Origen","Nivel requerido","Rareza","Precio base","Clase recomendada","Estadísticas","Efecto / descripción"
"grimorio_mago","Grimorio","Arma de clase","Global","Forja","Forja","1","Épico","90","Según clase","+2 Poder Arcano · +4 Energía","Invocar Familiar: El familiar golpea y marca la apertura creada."
"hacha_guerrero","Hacha","Arma de clase","Global","Forja","Forja","1","Raro","40","Según clase","+3 ATK","Golpe Brutal: Golpe pesado que debilita la defensa sin multiplicar el daño base."
"katar_picaro","Katar","Arma de clase","Global","Forja","Forja","1","Raro","40","Según clase","+3 Precisión · +5% crít","Perforación Mortal: Perfora parcialmente y deja al objetivo vulnerable."
"martillo_guerrero","Martillo","Arma de clase","Global","Forja","Forja","1","Épico","90","Según clase","+4 ATK","Impacto Sísmico: Impacto táctico que puede aturdir según la calidad del dado."
"vara_mago","Vara Elemental","Arma de clase","Global","Forja","Forja","1","Raro","40","Según clase","+2 Poder Arcano · +2 Energía","Explosión Elemental: Daño base con un estado elemental aleatorio."
"corona_reinos","Corona de los Reinos","Accesorio","Global","Especial","Legado","1","Legendario","0","Todas","+1 ATK · +1 Poder Arcano · +1 Precisión · +1 Def. Física · +1 Def. Mágica · +3 Vida","+1 ATK, +1 Poder Arcano, +1 Precisión, +1 Def. Física, +1 Def. Mágica, +3 Vida. Forjada con el poder unificado de los reinos."
"emblem_atlas","Emblema de Atlas","Accesorio","Global","Especial","Legado","1","Legendario","0","Todas","—","Amenaza -25%, recompensas +25%"
"manto_heroe","Manto del Héroe","Accesorio","Global","Especial","Legado","1","Legendario","0","Todas","+2 Def. Física · +2 Def. Mágica · +4 Vida","+2 Def. Física, +2 Def. Mágica, +4 Vida. El manto tejido de un héroe legendario."
"medallion_assassin","Medallón del Asesino","Accesorio","Global","Especial","Legado","1","Raro","0","Todas","+5 Energía · +5% crít","+5 Energía máxima y +5% crítico."
"totem_ancestral","Tótem Ancestral","Accesorio","Global","Especial","Legado","1","Legendario","0","Todas","+2 ATK · +2 Poder Arcano · +2 Precisión","+2 a tu estadística ofensiva. Contiene el conocimiento de una raza ajena: otorga destrezas foráneas a su portador."
"sword_atlas","Espada de Atlas","Arma","Global","Especial","Legado","1","Legendario","0","Todas","+5 ATK","Pasiva única (próximamente)"
"reliquia_verde_mago","Bastón de Savia Ancestral","Arma de clase","Global","Especial","Reliquia","1","Legendario","0","Según clase","+3 Poder Arcano · +3 Energía","Pulso de Savia Ancestral: Purifica y debilita el poder ofensivo de la corrupción."
"reliquia_verde_guerrero","Espada-Raíz del Guardián","Arma de clase","Global","Especial","Reliquia","1","Legendario","0","Según clase","+4 ATK","Corte de Renovación: Purifica la corrupción y vuelve vulnerable al Guardián."
"reliquia_verde_picaro","Hojas Gemelas del Brote","Arma de clase","Global","Especial","Reliquia","1","Legendario","0","Según clase","+3 Precisión · +8% crít","Danza del Brote: Sella la corrupción con sangrado purificador."
"armor_dragon","Armadura del Dragón","Armadura","Global","Especial","Legado","1","Legendario","0","Todas","+6 Def. Física · +4 Def. Mágica · +20 Vida","Pasiva especial (próximamente)"
